Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-10 09:00:00+01:00,207.5500030517578,207.6999969482422,207.5500030517578,207.6999969482422,0,0.0,0.0
2025-02-10 09:01:00+01:00,207.75,207.9499969482422,207.6999969482422,207.85000610351562,5284,0.0,0.0
2025-02-10 09:02:00+01:00,207.9499969482422,208.0500030517578,207.9499969482422,208.0,967,0.0,0.0
2025-02-10 09:03:00+01:00,207.89999389648438,208.0500030517578,207.89999389648438,208.0500030517578,203,0.0,0.0
2025-02-10 09:04:00+01:00,208.0500030517578,208.39999389648438,208.0500030517578,208.39999389648438,850,0.0,0.0
2025-02-10 09:05:00+01:00,208.35000610351562,208.6999969482422,208.35000610351562,208.64999389648438,10732,0.0,0.0
2025-02-10 09:06:00+01:00,208.75,208.85000610351562,208.64999389648438,208.85000610351562,3207,0.0,0.0
2025-02-10 09:07:00+01:00,208.85000610351562,209.0500030517578,208.8000030517578,209.0500030517578,9507,0.0,0.0
2025-02-10 09:08:00+01:00,209.10000610351562,209.10000610351562,208.9499969482422,208.9499969482422,1975,0.0,0.0
2025-02-10 09:09:00+01:00,209.0500030517578,209.10000610351562,209.0500030517578,209.0500030517578,285,0.0,0.0
2025-02-10 09:10:00+01:00,209.0,209.1999969482422,208.75,209.14999389648438,7841,0.0,0.0
2025-02-10 09:11:00+01:00,209.10000610351562,209.1999969482422,209.0,209.10000610351562,725,0.0,0.0
2025-02-10 09:12:00+01:00,209.0500030517578,209.10000610351562,209.0500030517578,209.0500030517578,1110,0.0,0.0
2025-02-10 09:13:00+01:00,209.0,209.0,208.9499969482422,208.9499969482422,769,0.0,0.0
2025-02-10 09:14:00+01:00,209.0,209.10000610351562,209.0,209.10000610351562,776,0.0,0.0
2025-02-10 09:15:00+01:00,209.0500030517578,209.14999389648438,209.0,209.10000610351562,1392,0.0,0.0
2025-02-10 09:16:00+01:00,209.10000610351562,209.10000610351562,209.10000610351562,209.10000610351562,128,0.0,0.0
2025-02-10 09:17:00+01:00,209.0500030517578,209.0500030517578,209.0,209.0500030517578,684,0.0,0.0
2025-02-10 09:18:00+01:00,209.0500030517578,209.1999969482422,209.0,209.14999389648438,1654,0.0,0.0
2025-02-10 09:19:00+01:00,209.14999389648438,209.14999389648438,209.0500030517578,209.0500030517578,977,0.0,0.0
2025-02-10 09:20:00+01:00,209.0500030517578,209.14999389648438,209.0500030517578,209.14999389648438,1083,0.0,0.0
2025-02-10 09:21:00+01:00,209.1999969482422,209.3000030517578,209.1999969482422,209.25,2151,0.0,0.0
2025-02-10 09:22:00+01:00,209.25,209.25,209.10000610351562,209.10000610351562,1207,0.0,0.0
2025-02-10 09:23:00+01:00,209.0500030517578,209.0500030517578,208.9499969482422,209.0,2006,0.0,0.0
2025-02-10 09:24:00+01:00,209.0500030517578,209.10000610351562,209.0,209.10000610351562,5010,0.0,0.0
2025-02-10 09:25:00+01:00,209.10000610351562,209.14999389648438,209.0,209.0500030517578,6740,0.0,0.0
2025-02-10 09:26:00+01:00,209.0,209.10000610351562,209.0,209.0500030517578,4310,0.0,0.0
2025-02-10 09:27:00+01:00,209.0500030517578,209.10000610351562,209.0,209.0,1125,0.0,0.0
2025-02-10 09:28:00+01:00,209.0,209.0,209.0,209.0,5584,0.0,0.0
2025-02-10 09:29:00+01:00,209.0,209.14999389648438,209.0,209.0500030517578,2335,0.0,0.0
2025-02-10 09:30:00+01:00,209.0500030517578,209.0500030517578,208.89999389648438,208.9499969482422,21187,0.0,0.0
2025-02-10 09:31:00+01:00,208.89999389648438,208.9499969482422,208.89999389648438,208.9499969482422,438,0.0,0.0
2025-02-10 09:32:00+01:00,208.89999389648438,208.89999389648438,208.75,208.8000030517578,6782,0.0,0.0
2025-02-10 09:33:00+01:00,208.6999969482422,208.75,208.5,208.60000610351562,3917,0.0,0.0
2025-02-10 09:34:00+01:00,208.5500030517578,208.60000610351562,208.5,208.60000610351562,2053,0.0,0.0
2025-02-10 09:35:00+01:00,208.5500030517578,208.5500030517578,208.25,208.25,17671,0.0,0.0
2025-02-10 09:36:00+01:00,208.3000030517578,208.39999389648438,208.1999969482422,208.1999969482422,4417,0.0,0.0
2025-02-10 09:37:00+01:00,208.14999389648438,208.1999969482422,208.10000610351562,208.14999389648438,2602,0.0,0.0
2025-02-10 09:38:00+01:00,208.10000610351562,208.10000610351562,208.0,208.0500030517578,852,0.0,0.0
2025-02-10 09:39:00+01:00,208.0500030517578,208.1999969482422,208.0500030517578,208.14999389648438,2421,0.0,0.0
2025-02-10 09:40:00+01:00,208.1999969482422,208.1999969482422,208.14999389648438,208.1999969482422,1171,0.0,0.0
2025-02-10 09:41:00+01:00,208.14999389648438,208.14999389648438,208.14999389648438,208.14999389648438,248,0.0,0.0
2025-02-10 09:42:00+01:00,208.14999389648438,208.1999969482422,208.0500030517578,208.0500030517578,2600,0.0,0.0
2025-02-10 09:43:00+01:00,208.0500030517578,208.1999969482422,208.0500030517578,208.1999969482422,3687,0.0,0.0
2025-02-10 09:44:00+01:00,208.14999389648438,208.14999389648438,208.0500030517578,208.0500030517578,442,0.0,0.0
2025-02-10 09:45:00+01:00,208.0,208.0,207.8249969482422,207.89999389648438,4426,0.0,0.0
2025-02-10 09:46:00+01:00,207.89999389648438,207.9499969482422,207.8000030517578,207.9499969482422,2511,0.0,0.0
2025-02-10 09:47:00+01:00,207.9499969482422,208.0,207.9499969482422,207.9499969482422,453,0.0,0.0
2025-02-10 09:48:00+01:00,207.9499969482422,208.0,207.9499969482422,208.0,869,0.0,0.0
2025-02-10 09:49:00+01:00,208.0500030517578,208.14999389648438,208.0500030517578,208.0500030517578,1530,0.0,0.0
2025-02-10 09:50:00+01:00,208.0,208.0,207.75,207.75,1887,0.0,0.0
2025-02-10 09:51:00+01:00,207.6999969482422,207.89999389648438,207.60000610351562,207.8000030517578,2159,0.0,0.0
2025-02-10 09:52:00+01:00,207.8000030517578,207.89999389648438,207.75,207.8000030517578,2311,0.0,0.0
2025-02-10 09:53:00+01:00,207.75,207.85000610351562,207.75,207.8000030517578,912,0.0,0.0
2025-02-10 09:54:00+01:00,207.8000030517578,207.85000610351562,207.6999969482422,207.6999969482422,1275,0.0,0.0
2025-02-10 09:55:00+01:00,207.75,207.75,207.5500030517578,207.5500030517578,270,0.0,0.0
2025-02-10 09:56:00+01:00,207.60000610351562,207.75,207.60000610351562,207.75,4054,0.0,0.0
2025-02-10 09:57:00+01:00,207.64999389648438,207.6999969482422,207.64999389648438,207.6999969482422,1572,0.0,0.0
2025-02-10 09:58:00+01:00,207.6999969482422,207.8000030517578,207.6999969482422,207.75,5655,0.0,0.0
2025-02-10 09:59:00+01:00,207.75,207.8000030517578,207.75,207.75,7089,0.0,0.0
2025-02-10 10:00:00+01:00,207.8000030517578,207.9499969482422,207.8000030517578,207.9499969482422,2122,0.0,0.0
